1.084:1 ,600,1750,1897,,MORGAN,,107437-000-00 
1.811:1 ,"1,000",235,130,1.64,FALK,1160YF1-A,109791-000-00 
1.811:1 ,"1,640",235,130,1.00,FALK,1160YF1-A,109791-000-00 
2.25:1 ,"1,000",600,#REF!,1.00,MORGAN,,107484-000-00 
2.304:1 ,330,400/1100 ,174/477,2.00,JANNEL KESTERMAN,CSA 315 RA,100328-001-00 
2.304:1 ,660,400/1100,174/477,1.00,JANNEL KESTERMAN,CSA 315 RA,100328-001-00 
2.4706:1 ,"14,600",875,354,1.00,FARRELL,51-3613-6,107317-000-00 
3.243:1 ,500,1775,547,1.65,FALK,1090Y1-S,107739-000-00 
3.243:1 ,825,1775,547,1.00,FALK,1090Y1-S,107739-000-00 
3.333:1 ,151,500,150,1.00,JAHNEL-GETRIEBE,,200399-000-00 
4.1176:1 ,330,400/1100 ,97/267,2.00,JANNEL KESTERMAN,CSA 315 RA,100327-001-00 
4.1176:1 ,660,400/1100 ,97/267,1.00,JANNEL KESTERMAN,CSA 315 RA,100327-001-00 
5.4:1,43.5,1000,185,1.00,HORSBURGH AND SCOTT,LS 1600,106218-000-00 
5.5:1 ,18.9,850,155,1.00,HORSBURGH AND SCOTT,LS-1300,106216-000-00 
5.5:1 ,18.9,850,155,1.00,HORSBURGH AND SCOTT,LS-1300,106217-000-00 
5.75:1,200,1030,179,1.00,FESSLER,350XB2-1L,200567-000-00 
5.75:1,200,1030,179,1.00,FESSLER,350XB2-1L,200568-000-00
5.75:1,200,1030,179,1.00,FESSLER,,200569-000-00
6:01,125,500,30,1.50,D. O. JAMES,SE-162,107323-000-00 
6:01,187.5,500,30,1.00,D. O. JAMES,SE-162,107323-000-00 
6.06:1 ,100,1150,190,1.11,D.O. JAMES,180 HS,106019-000-00 
6.11:1 ,266,900,147,1.00,HORSBURGH & SCOTT,,107630-000-00 
6.267:1 ,20,1150/2300 ,183/367,1.52,FALK,2050Y1A,101649-000-00 
6.267:1 ,30.4,1150/2300 ,183/367,1.00,FALK,2050Y1A,101649-000-00 
6.267:1 ,40,1750,#REF!,1.00,FALK,2050Y1A,101649-000-00 
6.37:1,150,1150,180,1.07,D.O. JAMES,210 HS,106020-000-00 
6.65:1 ,300,885,133,1.72,SEW-EURODRIVE CO.,1C315N,200287-000-00 
6.65:1 ,516,885,133,1.00,SEW-EURODRIVE CO.,1C315N,200287-000-00 
7.2:1 ,600,900,125,1.50,PHILADELPHIA GEAR,3227TS,107527-000-00 
7.2:1 ,900,900,125,1.00,PHILADELPHIA GEAR,3227TS,107527-000-00 
7.9:1 ,28.9,650,82,1.00,HORSBURGH AND SCOTT,LS 2000,106215-000-00 
10.08:1 ,14,870,86,1.00,HORSBURGH & SCOTT,CUSTOM LD1300,112755-000-00 
10.4118:1 ,429,1750,168,2.45,PITTSBURGH GEAR,KD285FF,200304-003-00 
10.4118:1 ,1050,1750,168,1.00,PITTSBURGH GEAR,KD285FF,200304-003-00 
10.4167:1 ,235,1750,168,2.19,PITTSBURGH GEAR CO.,KD225FF,200304-004-00 
10.4167:1 ,515,1750,168,1.00,,,
10.4293:1 ,190,1750,168,1.91,PITTSBURGH GEAR CO.,KD200FF,200303-003-00 
10.4293:1 ,363,1750,168,1.00,PITTSBURGH GEAR CO.,KD200FF,200303-003-00 
10.636:1 ,600,320,30,,HAMILTON,,107648-000-00 
11.408:1 ,72,1750,153,1.00,DORRIS,8311-LHB/L,200041-000-00 
13.0:1 ,101,624,48,1.00,HORSBURGH & SCOTT,140-DB,107634-000-00 
13.56:1,125,850/1750 ,63/129,1.67,BRAD FOOTE GEAR WORKS,,200398-000-00 
13.56:1,209,850/1750 ,63/129,1.00,BRAD FOOTE GEAR WORKS,,200398-000-00 
13.6:1 ,500,53/720,4/53,1.30,LOEWY,BH140SO,107631-014-00 
13.6:1 ,650,53/720,4/53,1.00,LOEWY,BH140SO,107631-014-00 
14.4151:1 ,563,1750,122,2.02,PITTSBURGH GEAR,KD330FF,200305-003-00 
14.4151:1 ,1137,1750,122,1.00,PITTSBURGH GEAR,KD330FF,200305-003-00 
14.4222:1 ,148,1750,122,1.79,PITTSBURGH GEAR,KD200F,200306-003-00 
